Comment,Sentiment
I watch Spider man No way home in Netflix and It&#39;s a very great movie ❤❤😊,positive
Future  generations  won&#39;t  understand  thr excitment this movie gave us,neutral
"I get the hype right now, didn’t now about the script🤯",positive
This movie is just perfect and I can&#39;t explain the hype in words and even after watching Deadpool and wolverine this much of feeling I didn&#39;t got . I also remembered that watching all empire movie pics breakdown trailer 1 2 breakdown videos in more than 20 channels for a complete day .... Just WOW yeah definitely upcoming movies will have the same level of hype but this movie&#39;s hype is more special next to endgame,positive
Anyone watching this after it was announced Robert Downey Jr. is Dr. Doom?,neutral
&#39;Strong enough to have it all.. to weak to take!&quot;,negative
This is one of them “ you had to be there” moments!,neutral
"This was two years ago...<br><br><br><br>Time flies fast, don&#39;t it.",positive
been a while,neutral
The hype for this movie was just…oml the theaters was just everywhere imma say that rn…,neutral
The greatest spider-man movie of the all time.,positive
Anyone after knowing RDJ as Dr. DOOM ?!?,neutral
You had to be there…the hype with the three spider-man’s possibility was crazy. I miss those days.,negative
Good Old times 🙂,positive
"<a href=""https://www.youtube.com/watch?v=JfVOs4VSpmA&amp;t=155"">2:35</a> So they did leave a hint lol",positive
this movie was a banger,neutral
Just came back to experience the hype 😂❤ again,neutral
2 years...,neutral
"Remember when people were having full blown arguments about whether Toby Maguire and Andrew Garfield were gonna be in this movie, I miss that time",positive
you just had to be there..,neutral
Anyone still here in 2024? I miss the hype of this movie especially during Christmas time. Best moment of 2021,positive
Watched it Christmas night 2021. Hype was worth it,positive
Istg the amount of hype bro,neutral
Now Needs This: <br>Spider-Man: A New Home <br>A Different Version <br>Peter Parker/Spider-Man. <br>Mary Jane. <br>Dr. Otto Octavius/Doctor Octopus. <br>The Daily Bugle. <br>J. Jonah Jameson <br>The Past Of Peter Parker. <br>Uncle Ben. <br>The Death Of Uncle Ben. <br>Oscorp. <br>A Little Appearance Of The Green Goblin. <br>A New Actor For Doctor Octopus. <br>MJ <br>Ned <br>More Suites For Spider-Man. <br>The True Iron Spider Armor <br>A New Boy Jorge Who Help To The Wall Crawler In This Movie.,positive
Hype of this film was insane,negative
This is the crazy movie of marvel❤,negative
Who&#39;s here in 2025?,neutral
2 years ago everyone waited to see 3 Spiderman in 1 flim 😂😂😂,neutral
Philippines did us dirty with this movie they really didn&#39;t released it until January its over two and a half years ago but im still pissed lol,positive
what a movie,neutral
this was the last movie i saw in a cinema XD,neutral
Who’s here after Deadpool and Wolverine,neutral
I REALLY FREAKING LOVED THIS MOVIEEEEEE!!!!!❤❤❤❤,positive
The hype of this movie was so gorgeous,positive
Anyone from 2024? ❤,neutral
Cant believe they dropped this 1 month before the movie came out,neutral
Just watched wolverine and deadpool. Geeez how times flies man. The excitement and goosebumps i felt watching deadpool and wolverine reminded me of how i felt watching spiderman no way home. Thank you ryan reynolds for bringing some light back to the MCU for the future omgg,positive
Best movie of 2020s,positive
ANYONE IN 2024 ???? <br>👇,neutral
"Damn, where was I when this legendary work was announced!!",positive
I wish i could relive this film for the first time again. Simply the best cinematic experience ever,positive
Between NWH and Deadpool and Wolverine marvels at the top of their game 💥💥,positive
Anyone here 2026?,neutral
Deadpool &amp; Wolverine releasing tomorrow,neutral
Time really flies,positive
"Such a great experience, the crowd was crazy in the movie theatre.",positive
"BRO I WAS SCROLLING DOWN AND THIS HAPPENED TO GET RECOMMENDED,  MAKING ME THINK THAT IT WAS A NEW SPIDERMAN",negative
There is tobey and andrew in this movie,neutral
"watching this in 2024 and realizing this is what marvel was, this is the marvel we lost",neutral
Who else got recommended by this again ?,neutral
I&#39;m curious what kind of movie we would&#39;ve gotten if Sony didn&#39;t work out a new deal with Disney. My guess Venom vs Spider-Man.,positive
After Endgame No Way Home is One of the greatest marvel movie,positive
Almost 3 years later and I still remember the hype for this film it was like nothing I’d ever seen and to be someone who experienced it the 2nd night it was out was amazing I’ll never forget that 2 hours and 30 minutes with my father,positive
Went to go see it on my birthday (2 years ago) and me and my girl had the whole theater to ourselves the movie definitely didn’t disappoint and lived up to my expectations 🔥💯,positive
Now I get it hype on 60´s for Star Wars...,neutral
"<a href=""UCkszU2WH9gy1mb0dV-11UJg/hcMfY5_zAbbxvwKLooCoCA""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/hcMfY5_zAbbxvwKLooCoCA""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/hcMfY5_zAbbxvwKLooCoCA""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/hcMfY5_zAbbxvwKLooCoCA""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/hcMfY5_zAbbxvwKLooCoCA""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/hcMfY5_zAbbxvwKLooCoCA""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/hcMfY5_zAbbxvwKLooCoCA""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/hcMfY5_zAbbxvwKLooCoCA""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/hcMfY5_zAbbxvwKLooCoCA""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/hcMfY5_zAbbxvwKLooCoCA""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/hcMfY5_zAbbxvwKLooCoCA""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/hcMfY5_zAbbxvwKLooCoCA""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/hcMfY5_zAbbxvwKLooCoCA""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/hcMfY5_zAbbxvwKLooCoCA""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/hcMfY5_zAbbxvwKLooCoCA""></a>",neutral
The casting director confused Flash Thompson as Gru. Hence the choice of actor.,negative
Wish this would come to Disney + like the other Spider-Man&#39;s. I wanna see this movie.,negative
"Might be corny but, this movie really helped me heal. I was deployed to the Middle East in 2021 for 7 months and I was depressed as hell cause my then gf cheated on me before and while I was gone. I remember only looking forward to the marvel, dc and star wars shows and movies , waiting for them to come out. <br><br>This movie being the biggest thing ever at the time for me. I remember loving every bit of it! It was all I ever wanted and expected and more! <br><br>From Matt Murdock to Eddie Brock showing up, MJ being saved by Andrew, Doc Ock coming back it was just, oh man I can’t even explain how happy I was",positive
Still watching this trailer in 2024 because this is one of my favorite,positive
MJ: <b>*falls*</b><br>Tom: <b>Jumps</b><br>Andrew: <b>Jumps</b><br>Tobey: &quot;I missed the part where that&#39;s my problem&quot;,neutral
We are in the layers,neutral
"Only one peter parker is here haa,, marvel @ sony making us fool 😅😅",neutral
Hey guys wait wait I just realise in trollhunters the rise of Titans Toby dies and Jim reverse the time the same happens in Spider-Man no way home Doctor Strange reverse the time😮😮😮😮😮😮😮😮😮😮😮😮😮😮,negative
i thought his black and gold suit was the symbiote 😭,negative
"The Hype For Spider Man No Way Home Was Insane, No Movie Will Compare To This One.",negative
Is it me or did when i watch the trailer you all think the black suit was the symbiote suit,negative
"who is watching this on 2024, 7th of july",neutral
IT&#39;S GRATIFYING AS A YOUNG WOMAN TO SEE TALENTED YOUNG WOMEN WITH ORDINARY BEAUTY PARTICIPATING IN MORE AND MORE FILMS.,positive
Still remember when this movie really make alot people hyped,positive
Haven&#39;t seen this yet just bits and pieces..it seems very good..but most marvel comic movies are..,positive
horseshit,neutral
This is the truly &quot;u had to be there&quot;,neutral
Can somebody explain me if all the people who knew Peter Parker is spider man got alive in other multiverse and they saved those persons why Gwen didn’t spawn there she also knew that peter is spider man,negative
The rumours of this movie thwt Tobey and Andrew are gonna be in this we’re insane <br>I wish I could go back,negative
Nicholas Hammond as the original Spiderman should have been in this.,positive
In the movie he says shit😂😂😂,neutral
I was so afraid that i would get a spoiler. I didn&#39;t even watch this trailer. This is the first time i am watching it.,negative
Who has come here after 2 years of this movie 🎥 release.<br> 👇,neutral
I still can&#39;t Forget how hype I was when this movie was realised.,neutral
"I think No Way Home would have been so much better if Spider-man had faced Kraven The Hunter. I always felt that Kraven was the most lethal opponent of Spider-man&#39;s, he was the evil version of Wolverine, minus the mysterious past. Don&#39;t get me wrong, No Way Home was still good with Toby and Andrew and all of the villians they fought in their movies, but it seemed like Tom Holland&#39;s Spider-man was fighting hand me downs from his two older brothers instead of a different villian. Yes it was fun to watch all three Spider-men together, but too much like older brothers watching over and helping out their younger brother.",positive
Who’s here July 2024,neutral
The end of Spider-Man ???,neutral
When another Spider Man movie comes out I want the final battle to be all 3 actors of Spider Man Vs Venom &amp; Carnage,neutral
Whole trailer one side and Green Goblin line on another,neutral
This movie was so big 2 years ago EVERYONE was hyped future generations will never understand that,neutral
Those who are watching in 2024...🎉❤,neutral
2024 time is going so fast ⚡,positive
This was the movie that finally sold me on Tom Holland as Spider-man. I didn&#39;t like his other solo films... Hopefully his new trilogy is great,positive
I was so fucking hype 2 years ago man<br>Time flies,negative
"Andrew deserves justice , he need Amazing spider 3 ASAP",positive
before the movie was released in the theater i watched this official trailer and i really thought tom holland peter parker is gonna 1v5 all the enemies and thought andrew garfield and tobey maguire doesnt appear,positive
"<a href=""https://www.youtube.com/watch?v=JfVOs4VSpmA&amp;t=121"">2:01</a> “the perfect transition doesn’t exist”",positive
I can’t believe it’s been 2 and a half year since this movie released feels like yesterday,negative
This was 2 years ago,neutral
Will Doctor Strange appear in the movie??? 😱,negative
The last best MCU movie,positive
Who&#39;s here in 2024?,neutral
Spider Man Monday has been the highlight of the summer box office.,neutral
At least give us 10 min footage each of Toby&#39;s Spiderman Universe and Andrew&#39;s Spiderman Universe as to what happened in the aftermath of No way home in their universe <br>How they are living and give Andrew his MJ,negative
"Very BAD,the worst spiderman movie ever made.shame on the expense...",negative
Spider-Man No Way Home is my all-time favorite spiderman live-action flim with my 2 best stars Tom Holland and Zendaya My Number 1 Favorite and Best Flim of the Year 2021.,positive
They copied this multiverse idea from into the spider verse,neutral
"<a href=""https://www.youtube.com/watch?v=JfVOs4VSpmA&amp;t=127"">2:07</a> Before the movie came out, I used to think Spider-Man was falling into the multiverse and Doctor Strange tried to &quot;save&quot; him.",negative
The suspense,neutral
cant wait for this 😍,neutral
"Yes, it&#39;s fan service, but after more than 20 years, we&#39;ve earned it.   And this movie delivered everything we wanted, and so much more.  Spider-Man done so right!  Now, on to the next trilogy--wherein Peter goes to College and begins to rebuild his life!",positive
Ah yes.. youth.. never satisfied,negative
I dont have everything I want.. I am actually satisfied with my needs...,positive
the line,neutral
I had to tell you,neutral
Anyone here in 2024,neutral
omg he waited so long for this one,negative
"Watching in 2024 , just Same vibs  🔥",neutral
Best movie in the MCU 😍,positive
"<a href=""https://www.youtube.com/watch?v=JfVOs4VSpmA&amp;t=155"">2:35</a> <br>Ever since I saw this trailer for the first time every cell in my body just screamed this was 20 years in the making with that piece of music thinking about the first time I saw Tobey’s Spider-Man back in  theaters in 2002 to witnessing where we came to now",positive
The last good live-action Marvel movie.,positive
Silly fool spiderman,negative
This was truly amazing.,positive
Epic conclusion of the homecoming trilogy 12.17.21 in 3D IMAX &amp; dolby cinema,positive
Take me back to this hype 🥺🥺,neutral
Genz isnt gonna understand how powerful hype this movie brought...the team...the enemies....and all three spider mans,positive
"I literally cried watching this movie at 2 instances, first when Tobey entered via portal &amp; second when Andrew&#39;s Peter got his redemption after saving MJ. ❤",positive
Team prefer to watching training to watching full movie,positive
Scoobi do says alot flashing back great animations🎉🎉,positive
The hype for this movie was genuinely so crazy,negative
THANK YOU SPIDER-MAN. YOU SAVED DEADPOOL FROM MEETING DEADPOOL IRL. Thank you so much ant-man we love marvel bejesus. Much love Doodle Deadpool. <br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br>P.S. (Wolverine dies again)<br>Spoiler Alert. Whoops.,positive
three years from a post credit scene and now everyone forgot this movie,neutral
The real crossover wasn’t in the movie. Wong vs The Beyonder from the 90s animated Spider-Man. On Fox Kids and Jet-X for the young fuckers.,positive
YouTube recommended me this trailer today .<br>What a hopeful movie it was...!! ❤,neutral
I’m gonna make my kids Hardcore Spider-Man Fans n will make em wait for years to watch it in the same sequence they were released in. ❤,neutral
I MISS THIS MOVIE SO MUCH❤,neutral
"Watched the movie, still here 😂😂",neutral
one of my best movies 🙏,positive
Crazy this trailer really spoiled almost everything,negative
I want this time back,neutral
Brilliant marketing. We never knew the other Spidermen were gonna be in this movie! Up until the DAY IT CAME OUT!<br><br>Very impressively done.,positive
i just watch ts sometimes to feel something,neutral
"This was literally avengers:endgame, PURE CINEMA😝😩",positive
Nostalgia bait movie and y&#39;all ate it,neutral
last movie i enjoyed watching in theater and time really files by,positive
"The movie gave me what I always wanted as a kid, all the Spider-Men coming together in the end.",neutral
this trailer still give me goosebumps 2024,neutral
My kids won’t understand the hype that was around this trailer,neutral
Who is see this in 2024  😅,neutral
the new generation won&#39;t ever get how excited you were to see all three spidermans in 1 movie for nearly 3 hours i wish i could see it for the first time again now i just live a miserabel life and probably will for the rest of my life enjoy highschool because life is gonna go heck lower than that after you graduate my biggest wish was to be happy again i haven&#39;t laughed and smiled like that since i left with my buddies for nearly 2 years ago you would think you&#39;d be happy once you left but after you would wish every single day that you could go back and laugh and run around with ur buddies 1 last time peace out i hope you get better the person reading this there will be light at the bottom of the tunnel maybe not for me,positive
Still gives me chills everytime I watch it even after 2 years,neutral
We also of course need madame&#39;s web,neutral
Still one of the best nights I had in cinema,positive
Waiting for 4,neutral
"At <a href=""https://www.youtube.com/watch?v=JfVOs4VSpmA&amp;t=138"">2:18</a> and <a href=""https://www.youtube.com/watch?v=JfVOs4VSpmA&amp;t=141"">2:21</a> They literally chopped out andrew and tobey from their scenes in the trailer to not give spoilers 😂😂",neutral
Gosh I wish I can go back in time and experience this again in THEATERS 😭,neutral
"Kids nowadays can never understand how much hype this had. Like everyday we were getting theories... Damn, I kinda miss those days",neutral
I don&#39;t remember this trailer. Maybe it was when I decided I didn&#39;t want to risk any more spoilers that I stopped watching trailers and stories?,positive
With great superpower great responsibility come<br><br>-Aunt may and uncle ben,positive
The last good marvel movie,positive
Anyone in 2024 just reminiscing about better times??,positive
sony really makes the worst trailers,negative
Spiderman 1: homecoming<br>Spiderman 2: far from home<br>Spiderman 3: no way home<br>Spiderman 20: home alone<br>Spiderman 50: heaven is my home,positive
Movie was fire. This trailer was epic,positive
It&#39;s happens 3 years ago 😢,neutral
Only Marvel fans knows that this movie hype is greater than endgame..,positive
7 April 2024 saw thi❤,neutral
Came back for the comments,neutral
Who remembers that the Portuguese version of the Trailer lasted one second more and we could see the Lizard getting an invisible kick?,positive
There will never be another spiderman movie as great as this one.,positive
Avoided to use internet for 2 days to see the movie without a spoiler suck a hype ! ❤,neutral
A trailer with zero spoiler,neutral
I wonder why Harry Osborn from the Raimiverse isn&#39;t in here...he died knowing Parker was Spider-Man,neutral
"I wish we were getting Spider-Man 4 this year, but we’re not gonna get any Spider-Man movies this year anyway which sucks💀💀💀😭",neutral
Imagine if Tobey Maguire and Andrew Garfield’s Spider-Man make an appearance it would make it such a great movie,positive
"you are not peter,the future generations cant understand",neutral
Can’t believe it’s been 2 years 😢,neutral
The last good mcu movie…,positive
i cant want for avengers secret wars...,negative
Am i the only one who came back here...just to realise... how much hype it really gave us!!!,positive
This was literally the LAST good thing Marvel did.,positive
"Don&#39;t expect much, but it&#39;s worth watching. Although it is nice to gather the actors together, there is still not the desired excitement. There are many missing parts. Still watchable....If you watch Marvel in Chronological form, you will understand it better. Let me show you in a list.....<br>Captain America: The First Avenger<br>Captain Marvel <br>Iron Man<br>The Incredible Hulk<br>Iron Man 2<br>Thor<br>avengers<br>Thor: The Dark World<br>Iron Man 3<br>Captain America: The Winter Soldier<br>Guardians of the Galaxy<br>Guardians of the Galaxy Vol. 2<br>Avengers: Age of Ultron<br>Ant-Man<br>Captain America: Civil War<br>Black Panther<br>Spider-Man: Homecoming<br>Black Widow<br>Doctor Strange<br>Thor: Ragnarok<br>Ant-Man and the Wasp<br>Avengers: Infinity War<br>Avengers: Endgame<br>Shang-Chi and the Legend of the Ten Rings<br>Spider-Man: Far From Home<br>Eternals<br>Spider-Man: No Way Home<br>Doctor Strange in the Multiverse of Madness<br>Thor: Love and Thunder<br>Black Panther: Wakanda Forever<br>Ant-Man and the Wasp: Quantumania<br>Guardians of the Galaxy Vol. 3<br>The Marvels....",positive
Still can’t believe this movie even happened all 3 best spider man’s together 😂😂😂😂😭,positive
"no way, it&#39;s home",neutral
The hype of this film was insane,negative
"I never getting bored wathing this trailer, the soundtracks so satisfying, love this part <a href=""https://www.youtube.com/watch?v=JfVOs4VSpmA&amp;t=90"">1:30</a>",positive
Ah man! I got some serious nostalgia while watching this trailer again🎉,negative
Man this is one of the greatest trailers,positive
It was best movie after endgame,positive
From all this time I watched this trailer I learned every part of what they said,neutral
Mary Jane? Looks more like Mariangela to me,positive
"Ya’ll remember when Andrews kick against the Lizard was leaked in the Brazilian version, and everyone was going crazy over the fact that we were getting all of Spider-men🥹🤧",negative
Did anybody notice the glitch on the part that after may died and both Peter&#39;s going to his school roof top to support him the moment after they jumped and landed you can see the fake placement,neutral
"It&#39;s 2024, I still miss this kind of Marvel hype era bruh",positive
Bro i am watching this trailer after movie and there was no clue for all three spiderman in the movie,neutral
Watching this on netflix right now and i came to say this movie is utter nonsense it mentions brainwashing thats funny becuase its exactly what this movie was made to do.... Brainwash everyone its nonsense.,positive
The final good marvel movie,positive
"I remember going to see it the night it came out. I went to school the next day and threatened my class with spoilers…suffice to say, they didn’t act up!",neutral
I havent seen this yet,neutral
