Comment,Is_Negative
Dont get me started on Doctor Strange and the little nerd back on earth 1999999,True
This was the worst Spider-Man movie ever made.,True
"Most of Spider-Man’s enemies are not evil like Sandman he was just doing that for his daughter and if his daughter was ok then Sandman won’t be evil, electro was just sad that no one cared about his birthday and when he turned into electro everyone started to shoot him, Green Goblin 2002 was forced to take the Goblin Serum so the company don’t fall but certainly the serum was not finished 100% and it has some side effects",True
"Most overrated and sh*ttest movie I&#39;ve ever seen. This is just a stupid fan service, I don&#39;t understand why people call it &quot;A Masterpiece&quot; 😅😂",True
"Peter, you’re struggling to have everything you want.  While the world tries to make you choose.",True
"Sony, my point is that the Andrew Garfield trilogy should end.  After the movies morbius and kraven the hunter, the amazing spider-man 3 should also be made. we should see shailene woodley as mary jane watson and the sinister six that will probably be created through oscorp and andrew garfield&#39;s black suit",True
Can’t believe almost two years since this movie was coming out. I remember how insane the hype was. Good times🥲,True
Aamir is Norman Osborne<br>Shah Rukh is Tony Stark.,True
"It&#39;s been a year.. but still, i blame aunt may for everything.. just stay dead may... godddd",True
"If there was a time machine to go back to late 2021 to relive the hype, I would.",True
I feel bad for those people that didn’t experience this movie like the rest of us,True
"&quot;Peter, your struggling, to have everything you want, while the world tries to make you choose&quot;",True
Crazy how I just seen this movie today and I even missed the pre hype to it smh never even seen the trailer until now but definitely top 5,True
Green Goblin: Peter your struggling to have everything you want while the world tries to make you choose.,True
When dr strange said ‘please Scooby doo this crap’ in the movie he actually says ‘please Scooby doo this sh*t’ which is quite funny 😂,True
"Wait did guys not notice something, in the scene where Tom/Peter charges at electro, lizard, and sandman, electro and sandman seem to not go after Pete but at something or someone else, 2 other people that are helping Tom/Peter fight them, Tobey and Andrew.",True
"i re watched today and Strange said &quot;scooby doo this shit&quot; it felt so weird i had to check it, i knew he said crap somewhere.",True
"<a href=""https://www.youtube.com/watch?v=JfVOs4VSpmA&amp;t=135"">2:15</a> what Dr.Strange and that little nerd did back on Earth 19999.",True
"One of the worst movies ever, even the cgi is terribile. I&#39;m glad I refuse to see this garbage at the cinema",True
This movie sucks,True
"&quot;And don&#39;t even get me started on Doctor Strange and that little nerd from Earth 199999&quot; (Miguel O Hara, Across the Spiderverse)",True
"Turned off half way through, sooooo boring…<br>Box tick <br>Box tick",True
2 years later it’s already nostalgic,True
"Marvel logic is weird.   Fact,  if you love someone, but forget them, you will still feel love.  Emotions are a totally separate thing, and they don&#39;t forget.   A prior film made a comment that changing the past doesn&#39;t change the future.  They are so wrong with  all of  it.  The movies are fun, but stupid",True
This trailer was fucking insane,True
The hype and build up for this movie was insane and broke the internet,True
After watch only 34 mins . I understood why no one I talked to ever want to be spider man cause he is pathetic woke and marvel has taken that pathetic zingoissm to next level . Worst spider man ever . It was just 34 mins of headache,True
Crazy knowing that this movie will be 2years old this year!,True
Omg i wanna see this so bad ❤,True
“Peter………..you’re struggling……To have everything you want…While the world tries to make you choose.”,True
bro its insane to think that across the spider verse and beyond the spider verse are probably gonna reach the heights of this movie I mean god damn I love spiderman,True
This movie is so boring. Bleh. Avoid.,True
Stupid boy ruined all,True
"Even after 1 year, Green Goblin&#39;s voice is enough to give me chills",True
Hard to believe it’s already been a year. The hype for this movie was truly something else.,True
I am Bat- Oh wait wrong video,True
"“Peter,<br>Your struggling,<br>To have anything you want<br>While the world tries to make you choose.”",True
Spiderman is dumb,True
The hype didn&#39;t match the movie.  Very disappointed,True
My favourite scene is when Steven says scobby do this crap,True
Joder que recuerdos&lt;33<br>:(,True
It was a stupid movie,True
"Peter Parker killed Aunt May, summoned a whole gang of evil villains, and almost imploded the universe... just to get his friends into M.I.T. Such a stupid movie and Spider-Man is such a stupid superhero for stupid people.",True
"I hate this movie, this movie is so bad that they’ve ruined MCU",True
I REALLY WANTED TO LIKE THIS. but  i couldn&#39;t. i thought it was stupid. I&#39;m sick of Spiderman being a child,True
How of you regret missing this gem in Theatres like me?<br>Like👇,True
Trash I can’t lie very disappointing give it 3/10,True
one of the worst movie ever,True
why is this nostalgic,True
"such an annoying movie, superhero? more like super idiot.... shoulda listened to strange",True
I remember just screaming at all those shots of the villain literally waited ever minutes of the day for the trailer can&#39;t believe it&#39;s now been a year crazy 🙂,True
What’s crazy is that this video got 4 million views in 4 minutes,True
I love the way YouTube can’t say shit so it says crap.<br>Movie: scooby doo this shit<br>YouTube: scooby doo this crap,True
I can&#39;t believe one year have past 🥺,True
"<b>it&#39;s officially a year ago since this movie released,</b> December 17 2021, it&#39;s now 2022 Dec 17, it&#39;s crazy how it&#39;s been a year ago, the hype was real, but not as crazy as end game, I remember eating and watching nwh, man why is time moving so fast. I&#39;m freaking out :(, it feels like yesterday when I was waiting for the release and watching theories, and avoiding leaks",True
The annoying about this movie is the black bars,True
I still remember watching this movie in theatres on the opening day. Man such a nostalgic moments in this movie.❤️,True
already 1 year thinking back was so unreal I never enjoyed a movie that much in my life for so long,True
Coming back and looking at this exactly a year later is just crazy,True
"Can&#39;t believe it&#39;s already been a year, the hype for this movie was INSANE",True
Today the trailer came out a year ago wtf,True
Stupid movie with ultra stupid main character,True
Andrew Garfield is the worst spiderman.,True
Man i miss the hype for this it was insane,True
"Fav era of all time, the No Way Home era :((",True
"See you all back here in like, 5 years when this is nostalgic ✌️",True
this all feels so nostalgic now,True
It started when an alien device did what it did,True
"not that the hype has died down looking back the movie is actually really bad, basically the non mcu Spiderman characters carried and tom holland spiderman was basically iron boy jr for like 85% of the movie. It wasn&#39;t until the last 15 minutes he was actually spider-man.",True
"<a href=""https://www.youtube.com/watch?v=JfVOs4VSpmA&amp;t=75"">1:15</a> Scooby-Doo this crap!",True
"It&#39;s been 3 chapter &amp; like always this new machine spiderman always be the one who fak the thing up. Just pure dumb. That&#39;s what you get, stupid action come with stupid consequences.",True
Me to Marvel and sony bring back bully maguire ( spider man 3 black suit) once again<br> Ultimate crez of Spider Man fans worldwide,True
"Spider-crap. Probably One of the worst movies ever created. The worst ir the Century for sure. How can you Invest só much Money n a crap such as this movie. The script is a joke, carácters full with left wing polítical LGBT, and other agendas. The zombie generation Addicted to Smart phones, só annoying, Impossible technology, etc... Tryng to avoid old clichês, they come up with new ones, like a black MJ, a hot ant May. Peter Parker best friend is probably the ugliest man Alive. An Indian flash?!?! OMG and all this on purpose, like if the audience was stupid",True
Zendaya looks like a regular weird teenage girl in spiderman but irl she&#39;s an A-list celebrity,True
No one But me getting shocked at the pumpkin bomb and doc oc like I haven&#39;t watched the movie 100times.,True
“The concept of the multiverse is one we know frighteningly little of”,True
Why this movie is in theaters again? I have already watched this movie long time ago!,True
Cgi is shit clearly visible that those arms are fake and toy,True
There&#39;s always the other home nobody talks about. Thinks it&#39;s called heaven.. 🤣 come get it!,True
"I just notice that this movies don&#39;t take serious this times, just like the teen Titans of this generation 😕",True
Its a big story and sad ending…,True
"the present peter makes me sick, annoying kid! 👎🏼",True
I&#39;m so sad that uncharted is is the end,True
I don&#39;t know WTF some people are living without watching any Spiderman movies,True
&quot;Peter... You&#39;re struggling... To have everything you want... While the world tries to make you choose!&quot;<br>This line haunts me everyday! 😨😢,True
Beat Spider-Man movie hands down 🤞🏿💯,True
"I just realised, all of this was caused because Tony Stark said &quot;barf&quot;",True
"I Love the part when the green goblin initially body slams Spider-Man through the floor and then casually walks away after. He was like, &quot;And stay down little punk!&quot; 😂😂",True
Even today Willem Dafoe&#39;s Green Goblin is as much terrifying as he was back in 2002,True
Nooo! He ends up all alone. Poor baby,True
Stupi&#39; spider .. i only watched half and then goodbye..,True
10 out of 10 movie .A Fucking masterpiece,True
"The end of that movie is brocken. Don&#39;t watch it, it is gonna ruin the past parts.",True
If only marvel included Henry’s character god that would’ve been crazy he would’ve been able to stop Osborn from stabbing Spider-Man,True
If everyone is gonna suppose to dead while returning to there universe timeline...what is  the point to fix them??🤔🤔,True
Boring,True
"The film disappointed me, I was waiting for a real masterpiece and got a funny fan fiction from a youngsters",True
Damn black banter trailer at 46 million in less than 24 hours. I thought this would be the highest view trailer in record time.,True
"He is a little twit that Peter in this one, had he listened to Dr Cucumber , none of this grief would have happened and New York wouldn’t have to be destroyed so many times again! I’d hate to live in NY and pay for buildings insurance!",True
"Looking back at this trailer, it looks impossible for him to take on the 3 villains.",True
It&#39;s not every day that a superhero gets to team up with other versions of themselves to battle the villains from other universes,True
This peter parker is trash. I mean I like Tom Holland. He is adorable and he can act but this Peter Parker/Spider Man character in this particular film is so horrible.,True
They fucked up spider man made it to childish really shit,True
Holy shit i only just noticed that was Andrew&#39;s spider mans hand at the end where Tom&#39;s was trying to save her.,True
"True, I don&#39;t like this peter, too selfish",True
This movie has way too much cgi. The backgrounds are so obvious. Really sad.,True
"Just watched it on Netflix, mediocre film, just fan service, childish and splattered with stupid sometimes cringe worthy jokes. Dumb plot too. And this Spider-Man sure does not look 17 even though he is short😂. So glad I did not waste my money watching this forgettable stuff in cinema",True
Bad movie old spiderman was all better than this,True
First off we have Mysterio telling everyone that Peter Parker&#39;s spiderman. And then Peter meets Dr Strange. Idk why Dr strange was in the movie. Peter meets the former villains. The villains go berserk. Aunt May is killed. Wasn&#39;t sad at all. Peter meets the two spidermen from different universes. They start attacking the villains and they bring them back to normal. Yay🙄. After that Peter asks Dr Strange to wash off everyone&#39;s memories. BAD ending. Overall this movie was mid.,True
Make a cold spider suit in real IP spider movie IP 9 lei 7,True
The internet went insane that fall!!,True
Strange didn’t say “scooby do this crap” 🥲 ( it would’ve made such a good line if they would’ve changed it to “scooby do this shit”,True
I Hate averages  but i like spider  man,True
Unbelievable that TASM2 could’ve been redeemed just by changing Electro’s design,True
"Looking back at it, this movie did not live up to its hype (For me). I feel like it lacked heart and creativity, I know that it struggled during pandemic but…. I just can’t see it as a masterpiece because for me that title belongs and always will belong to Sam Raimi’s Spider-Man 2 ♥️",True
Sucks venom didn’t return,True
Spider-Man: No Way Home is slowly getting The Dark Knight status. It’s a grave sin to criticise that movie in public!,True
"I don&#39;t think I&#39;ll ever forget the experience of watching this movie on opening day. At the time I had like 20% knowledge of spiderman, my first friend watched every single movie and was obsessed and my second knew absolutely nothing, but still, all of us were screaming at the theater like crazy. The movie is an absolute masterpiece.",True
NAH BC THIS LOOKS SICK AND I CANT WATCH IT💀,True
"Due to this being a masterpiece, There is a way home!!!",True
I like the other dude playing spider mannnnn 🥹,True
"<a href=""https://www.youtube.com/watch?v=JfVOs4VSpmA&amp;t=20"">0:20</a> and <a href=""https://www.youtube.com/watch?v=JfVOs4VSpmA&amp;t=148"">2:28</a> screams don&#39;t actually happen because Zen doesn&#39;t have those vocal ranges. They used another sound effect, plus I watched it. I mean just listen when she talks, look at her Adam&#39;s apple. Weird and rare",True
too complicated .....,True
I am angry at how stupid Peter Parker is. He is soooo naive. It made me skip some parts. Everything seemed so contrived.,True
"For the next Spider-Man movie, i really really wanna see Chameleon and Scorpion! I mean Chameleon was the first villain that Spider-Man fought and Scorpion has yet not been on the big screen (at least not in costume)",True
just watched this trailer and not sure i watched the movie or not.,True
imagine watching this movie without all these fucking leaks..,True
People should understand that marvel ruined the spiderman character with worst story and graphics. Compare the Tsam 1 and Tasm 2 with Marvel spiderman movies. The graphics are worst 🤢🤮🤮🤮.,True
This movie is so Amazing and insane i have watched it 9 times,True
I hate Green Goblin for killing Aunt May but still this was a really good movie I cried though,True
"<a href=""https://www.youtube.com/watch?v=JfVOs4VSpmA&amp;t=136"">2:16</a> I like how the 2 other Peters were edited out of the trailer in order to not spoil anything",True
A black MJ doesn&#39;t work.,True
Most idiotic movie ever made by Marvel,True
"At <a href=""https://www.youtube.com/watch?v=JfVOs4VSpmA&amp;t=76"">1:16</a> it says “scooby doo this crap” but in the movie it’s says “scooby doo this sh**”",True
"After watching this film, i was sad I lost 2 hours for such an stupid film. I was curious about how people thought on the movie.... People do like this film. Then an understand the makers of the movie does understand An know the brain level of the people who do look to these films. The new generation is brainswashed and do not have the need to use their brains. Im sad for their enslived future.",True
I have this weird habit of watching this every now and then because it still gets me hyped.,True
Settling down for the night 🌙 😴 😌 ✨,True
I just bought No Way Home to finish my DVD/Blu-ray collection. Can&#39;t wait to see Morbious and Strange 2 next weekend. I took my 6yo to see Morbious but she got scared. So I get to finish it. Can&#39;t wait. Just in time for my 34th birthday,True
is anyone else not gonna mention how f&#39;ed up that car got when it got thrown into the water barrels holy crap,True
"Uhm.. holY SH*+ BALLS!!!!!  I seriously thought that when the avengers were done, it was a wrap!!!! But boy was I wrong, WOW.. BYE.... 😳 I NOW HAVE SOMETHING I HAVE TO WATCH FOR THE NEXT FEW HOURS  💪✌️😉",True
this part of spider nam is the worst.,True
fuckeddddd .... seriously watched this with no interest ... the most pathetic and funny spiderman movie since ... <br>just watched it 5 mins before and it screwed my mood ...,True
I ONLY SAW THE TEASER TRAILER before I watched no Way home. I did hear the RUMORS that TOBEY and ANDREW were in this film but I didn&#39;t want to believe it as I wanted it to be a surprise and HOLY CRAP. This was the best Spiderman movie ever. HOLY CRAP. THEY BROUGHT BACK EVERYONE. Bringing back every villian from Tobey and Andrew series as well as them. When I saw the scene of Andrew and Tobey both arriving in this film. I was feeling every emotion at once. This movie was a masterpiece...,True
Mere pass ye movei hai hindi dubbed me,True
It looks like same to the sinister six,True
So sick,True
"Oscars Piece of shit , latín American people don&#39;t like boring movies , i don&#39;t waste my time watching boring movies that Oscars like",True
Can’t believe it’s been this long,True
If Sony owns Men in Black. They should work out a deal with Marvel to put MIB in the MCU.,True
"Blatant clickbait, putting Night Monkey in the trailers when he never appears in the movie.",True
I just saw it - really not much better than Black Widow or Captain Marvel.  It really is a shame because I normally love all of the spider-man actors and actresses from the past few movies.    I normally love Cumberbatch as Strange.  Some of my all time movies are Marvel but I&#39;m having a very hard time getting even remotely stoked about their ultra woke crap.   Everyone deserves a second chance even if more good people die than bad people?   Is that China&#39;s new slogan?,True
Ha he says scooby doo this “SHIT” in the movie but in the trailer it’s crap LMFAOOOO,True
"I&#39;ve not been a big fan of spider man movies.  This to me compleatly failed, I cringed a lot, the jokes was bad, the story was compleatly screwed up in my opinion. I was cheering for  Dr Strange when he fought Spider Man. <br>This movie had a lot of moments that fans of the Spider Man movies would love. Some cool action scenes. <br>But when I don&#39;t support the main hero in a Superhero movie it just flopped for me.  4/10",True
What a shit show,True
the only mistake in this movie is the wrong spelling of believe,True
Terrible movie,True
Let’s Scooby Doo this Crap<br>Doctor Strange 2021-,True
When I was small I borrowed my friends dvd to see Spiderman 1 and now I am seeing all the 3 spider mans in one single film!wow!,True
FAKE FAKE,True
"Sigh you damned people, so immature, hate the story, but the movie is great🤣",True
Scooby Doo this crap,True
Its sad... How they threw out andrew and now little tommy is ruining this character. Once i thought andrew can never take toby&#39;s place but seeing Little tommy taking spidy part made me regret it. No offence tom is a great actor but he is not fit for this role. I hope MCU realise their mistake before its too late.,True
"not worth it,,,",True
"piece of shit, unimaginative lazy move! corporate money grab to collect money from gullible americans",True
I&#39;ve watched this movie spiderman but at the end it says dr strange will return.... <br>Hey what happened???<br>A flop IN every part shouldn&#39;t be getting even a 4.5 rating<br>As i said a flop...,True
when is he gonna get home like help the poor baby,True
Watching the trailer after the movie is crazy,True
man they did do wrong by making everyone forget peter even mj and net dude it was so like it made me cry out in the end,True
Some where in the Multiverse spider-man no way home has a sinister six,True
Where was venom wasn’t he a villain that spider man killed,True
"Marvel are running the game rn, too hyped for Doctor Strange 2!🔥",True
One of the worst movie i&#39;ve ever seen.,True
Le KGF :- If you are bad I&#39;m your dad😱😱🔥,True
I’m curious to see what this movie would’ve been like without tobey and Andrew,True
the story is so boring and non logical. Dr. Strange can&#39;t make a stupid risky magic like that. This movie is suitable for kids.,True
this movie is crap,True
"This trailer spoils so much of the movie its insane, I don&#39;t understand why they do that. I&#39;d rather have a short teaser hyping you up than this kind of trailer spoiling the whole movie",True
Never in my 28 years of existance have I seen a more boring movie. Never had i not finished a movie i started watching. Till now.,True
"Trailer: Villians from multiverse came back to kill Peter. Expectations: Spidermen from multiverse will save the day.<br>The plot (spoiler alert): Peter tries to save the villians from death, slow sequences, a death in the family and lots of emotional moments. A little bit boring compared to the trailer.<br>I guess imdb rating is high because of nostalgia.",True
Your videos are sick,True
I watch the film. It is awesome but the end is dumb. MJ had to recognize Peter.!!! I was sо angry all day because this!!!! 😡😡😡,True
U CAN&#39;T FUCKING SAVE UR SELF,True
Let&#39;s talk of the power of Brand Loyalty to Marvels... Coz truly Speaking this movie is boring like the worst.of most Marvels ... Overrated... 😪😪😪😪,True
the final said scooby doo this shit,True
What a crap movie. Don’t waste your time. It’s long and lowest story ever,True
"I hated this movie in very possible way.. terrible writing, terrible acting, terrible concept of spider verse.",True
"This movie sucks, let&#39;s be honest. Everyone is just so dumb, you can&#39;t tell who&#39;s good and who&#39;s bad anymore. Seriously, this movie is shit compared to 2002-2007 trilogy.",True
"Any guesses what should follow next for Tom’s Spider-Man?<br>a) Meet Gwen Stacy in college, team up as Spider-Woman.<br>b) Date Kate Bishop or Ms. Marvel.<br>c) Get rescued by Doctor Strange or Nick Fury<br>d) Get transported into Sony’s SSU via Venom goo.",True
All the negative people,True
Another childish mcu movie. Overrated.,True
Alright negative people showed up,True
Was disappointed would give it a 4.5 ...🙄,True
This PC parker is the most annoying spider man,True
this movie is garbage. wtf is this kid doing.. Like who did this dumb movie. omg.,True
Tobey appearance shocked me!,True
"SERIOUSLY I WILL SHOW U GUYS , WHAT IS SPACE DUCK, U ASKED FOR MY DADS SOLE , CAN&#39;T FEEL ASHAMED MUNDA",True
Wow. I seen the movie before any of the trailers. They ruin the whole story wtf. Thats why i stoped watching them,True
"What a garbage movie, had to quit half way through it was that bad.",True
I HATED MJ IN THIS 🤮,True
Just watched the FIRST HALF of this SHIT....The BIGGEST CROCK of DOG SHIT I have ever seen....STAN LEE would have been very DISAPPOINTED.....REAL WASTE  OF TIME ...,True
how pathetic magically reviving dead characters ???,True
"<a href=""https://www.youtube.com/watch?v=JfVOs4VSpmA&amp;t=154"">2:34</a> don&#39;t do what the other spider man did to Gwen Stacy.",True
90% of the movie is shown in the trailer.. disappointed after watching the whole movie,True
"if you expect disappointment, then you can never really be disappointed. ❤️👍",True
I didnt bored even one second. Masterpiece movie❤️❤️,True
Strange: From <i>every</i> universe!<br>Peter: Then where’s the other six??,True
Very bad movie.,True
"Few years later…<br>SPIDER-MAN: HOMELESS<br><br><br><br><br>No not really, I saw the ending",True
Maguire &gt; Garfield &gt; Stupid Childish Holland,True
I&#39;m 15 and I already know I&#39;m gonna feel Nostalgic later in life about how I was awake whole night because of the trailer,True
The worst movie ever!!!! Is terrible!!!! 2 and  halt hour lost from my life!!!! Bad!BAD!! 🤮🤮🤮🤮🤮🤮🤮🤮,True
Where are the other spider men tobey and andrew,True
The goblin was dead in 2002 how is he alive again brah??,True
I heard so many positive reviews about this movie. This shit was boring as hell!!,True
Where are all those people who told us not to over hype this movie and not to believe all the rumors because we all are going to be disappointed af?,True
You meant scooby doo this shit,True
Looks stupid,True
"I think I heard this &quot;you are struggling to have everything you want, while the world tries to make you jew&quot; when the goblin flies and drops his bomb.",True
The other peter&#39;s were peter over the years bc I saw the 2002 peter,True
Not being able to stream this until March 22nd is f&#39;ing stupid.,True
I’m literally gonna waste all my money just for this.,True
Unbelievable this is the only time the same actor has played the same role in two completely different franchise movies,True
"Just saw it in the cinema, what happened to the Spiderman movies, since the previous ome the movies just seem off, also some really weak humor that are somehow meant to be jokes, the plot was jumping from fumny to really dramatic to suddenly action! Really weird script.",True
That moment in the trailer where Tom tries to save MJ gives me chills knowing what happens next...,True
"Not gonna lie, I though Alfred Molina and Willem Dafoe is dead",True
The only thing that made me mad was Dr strange could mess with reality for Peter but he couldn&#39;t  go back and save IronMan.The Actual movie was so good.,True
